idnovel,tr_word1,tr_word2,tr_word3,tr_word4,tr_word5,ch_word1,ch_word2,ch_word3,ch_word4,ch_word5,st_word1,st_word2,st_word3,st_word4,st_word5,md_word1,md_word2,md_word3,md_word4,md_word5
614,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
616,게임 판타지 ,코드 피스 ,먼치킨 형 ,누 군가 ,떡 밥 ,낮다,분명하다,괜찮다,중요하다,오래되다,있다,흔하다,확실하다,없다,덥다,가볍다,적합하다,의하다,강하다,굉장하다
617,존 워커 ,노 메 ,자신 ,말 ,때 ,지겹다,착하다,곱다,적응하다,통쾌하다,암울하다,뚜렷하다,부담스럽다,성하다,탄탄하다,암울하다,독특하다,성하다,흥미롭다,색다르다
618,각성 몽 ,현대 판타지 ,능력 ,성장 물 ,영 빈 ,있다,비슷하다,아무렇다,답답하다,없다,어떻다,좋다,인하다,간단하다,아니다,다양하다,단순하다,원하다,중요하다,의하다
619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
620,주인공 ,레벨 업 ,정인 우 ,헌터 물 ,지구 ,싫어하다,작다,충분하다,괜찮다,같다,부탁드리다,적응하다,편안하다,당연하다,까다롭다,NULL,NULL,NULL,NULL,NULL
621,용사 ,차원 이동 ,마왕 ,경우 레벨 ,원호 작가 ,힘들다,재밌다,안되다,어떻다,같다,재밌다,빠르다,강하다,안되다,같다,즐겁다,가볍다,불쌍하다,엄청나다,좋다
622,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
623,필자 ,글 ,작품 ,작가 ,인물 ,짜릿하다,그렇다,필요하다,있다,강하다,강하다,있다,같다,그렇다,이상하다,죄송하다,훌륭하다,다행하다,아니다,상당하다
624,최성진 ,일 금 ,종말 거부 ,부산 쉘터 ,송 하린 ,상당하다,낮다,흔하다,재밌다,유명하다,높다,당하다,엄청나다,괜찮다,있다,쎄다,신선하다,재밌다,힘겹다,어떻다
625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
626,우영 ,생존 물 ,공간 ,새끼 ,느낌표 ,좋다,특별하다,없다,궁금하다,당하다,같잖다,특별하다,그렇다,새롭다,흔하다,NULL,NULL,NULL,NULL,NULL
627,응 디 ,자신 ,한국 사회 ,미국 ,쿠 노 ,어정쩡하다,오만하다,얕다,화려하다,재밌다,성하다,부자연스럽다,성공하다,아깝다,아슬아슬하다,암울하다,개운하다,애절하다,번거롭다,막막하다
628,경영 물 ,현대 경영 ,명의 몸 ,은 재벌 ,자신 ,당하다,없다,적절하다,유명하다,나쁘다,안녕하다,괜찮다,같다,독특하다,적절하다,있다,덥다,재탕하다,비슷하다,힘들다
629,무협 웹툰 ,검 전기 ,먼치킨 물 ,화산 전생 ,도굴 왕 ,충분하다,꾸준하다,어지간하다,가능하다,비밀스럽다,신선하다,소소하다,야하다,확실하다,나쁘다,부족하다,스럽다,대단하다,당연하다,끔찍하다
630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
