title,genre,author,complete,img_src,age,total,pub_date,publisher,intro,href
창궁지룡,"무협,  퓨전","
장룡

",완결,//cdn1.munpia.com/files/attach/2019/0228/000/kEgmRgj74GhudAC6.jpg,전체이용가,128 회,2019.03.18 18:00,정보 없음,"십 오년 전 억울한 누명을 쓰고 황군으로 도망쳐 전쟁에 뛰어들어 장군의 위치까지 오른 남궁현(南宮賢).
북방 대전사와의 혈투 끝에 눈을 감았지만..
""난 죽었었는데..?""
다시 눈을 떠 보니 이십 오년 전의 남궁세가였다.
전생의 기억을 벗삼아 만들어가는 남궁현의 두 번째 인생이 펼쳐진다.",https://novel.munpia.com/140235
마패 삼국지,게임,"
Penless

",완결,//cdn1.munpia.com/files/attach/2018/0410/001/HCxO67ihvUrtSxrO.jpg,전체이용가,352 회,2018.04.09 18:00,정보 없음,"가상현실게임 마패 삼국지
접속해보니 게임 종료 버튼이 없다? 
평범한 삼국지는 가라!
각 명장이 가진 고유 스킬이라는 녀석이 대폭발! 
천하제패를 위한 유저 여몽의 투쟁기 지금 시작합니다!",https://novel.munpia.com/94257
아이템 효과 999배,"현대판타지,  게임","
워스티드

",완결,//cdn1.munpia.com/files/attach/2018/1206/004/01AaQI1R1Y41BQIb.jpg,전체이용가,174 회,2018.12.06 15:00,정보 없음,"항상 남들에게 치이고, 이용당하고, 필요없는 놈 취급받던 F급 낙제생에게 어느날 기회가 찾아왔다.",https://novel.munpia.com/128353
1퍼센트가 되기 위한 자습서,"현대판타지,  퓨전","
freein

",완결,//cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg,전체이용가,176 회,2018.03.02 14:00,정보 없음,"[헌터물 포함][주식 투자물][결과보다는 과정 중시]

성공하는 자(1%에 속하는 자)가 되기 위한
상준의 여정.

주식 투자에 성공하고자 하는
사람들에게 !%가 되기 위한
과정을 상준이 보여준다.

단순하게 주식투자에 성공하는 글이 아닌
실제 주식 투자에 성공할 수 있는 길을
제시하는 것이 목적임.
결과보다 과정을 제시한다는 것임.
성공을 위해 어떻게 준비해야 하는지를 제시함.",https://novel.munpia.com/105768
잔여 포인트 999999999999P,"현대판타지,  퓨전","
라이온

",완결,//cdn1.munpia.com/files/attach/2018/0309/001/LHTXQ28BXif2eXSn.jpg,전체이용가,203 회,2018.03.26 16:50,정보 없음,"[사이다] [이세계] [시스템] [어비스] [생존] [999999999999P] [소제목값함]

나에게 주어진 기회 따위는 존재하지 않았다. 
아무것도 할 수 없는 무력함 속에서, 비참히 죽었었다.

[ 999,999,999,999P를 선물 받으셨습니다! ]

""구천, 구백, 구십, 구억 포인트...?""

과거로 돌아옴과 동시에 얻은 기연.
이제, 내가 주도권을 잡는다.",https://novel.munpia.com/108897
"리치, 헌터가 되다!","현대판타지,  판타지","
청송(靑松)

",완결,//cdn1.munpia.com/files/attach/2018/1217/004/Tx0mjMauErRNW9da.png,전체이용가,150 회,2019.01.21 15:00,정보 없음,"아르말딘 대륙에선 이루지 못한 신의 자리. 
이번에는 이루고야 말겠다.",https://novel.munpia.com/130766
핵재벌 개망나니,"현대판타지,  대체역사","
방탄리무진

",완결,//cdn1.munpia.com/files/attach/2019/0213/001/2O6vFYIlpGZZomCC.jpg,전체이용가,201 회,2019.02.25 12:00,정보 없음,전 세계 최고 최강의 개망나니 주인공.,https://novel.munpia.com/140381
위키 쓰는 용사,"퓨전,  판타지","
로드워리어

",완결,//cdn1.munpia.com/files/attach/2018/1108/003/QDlakNReg8JnlND7.jpg,전체이용가,260 회,2018.10.25 11:00,정보 없음,다른 놈이 창칼 쓸 때 나는 위키 쓴다.,https://novel.munpia.com/127484
시체만 있으면 강해져!,"판타지,  현대판타지","
한진하

",완결,//cdn1.munpia.com/files/attach/2019/0610/000/sQI2lmN3OrFNVlRc.jpg,전체이용가,204 회,2019.01.02 17:00,정보 없음,"나는, 시체를 흡수하면서 강해진다.",https://novel.munpia.com/134883
치트쓰고 시작하는 영주생활,"판타지,  퓨전","
엑소더스

",완결,//cdn1.munpia.com/files/attach/2019/0117/000/mzaUf1Y5vXpcIeeT.jpg,전체이용가,196 회,2018.12.20 09:30,정보 없음,"판타지 세상에 떨어진 주인공이라.
너무 평범하면 재미없으니 아무래도 치트를 한 스푼- 엥?

처음부터 치트쓰고 시작하는 영지경영 일대기.

#영지경영 #판타지세상 #영주님 맙소사",https://novel.munpia.com/131283
딸바보 톱스타,"현대판타지,  드라마","
원섭

",완결,//cdn1.munpia.com/files/attach/2020/0720/003/wb70fVAsLul4ib9u.jpg,전체이용가,182 회,2019.01.17 16:00,정보 없음,"무명 연극배우, 딸바보 임성빈. 
현실에 부딪쳐, 꿈을 놓으려는 순간 하나의 행운을 움켜 쥐었다. 
따뜻하고 진실한, 사람들의 마음을 훔치는 배우 임성빈. 
흔한 연극배우에서 세계적인 톱스타까지.


아빠이자, 아들이자, 사위인 배우 임성빈의 연기 일대기, 지금 시작합니다.


전작-월드클래스 8권[完] 힐링송 메이커 5권[完] 캡슐먹고 축구최강 9권[完]",https://novel.munpia.com/134489
공작가 셋째아들,"판타지,  퓨전","
소수림

",완결,//cdn1.munpia.com/files/attach/2018/1128/002/7YPJNW0jEhZSu6kT.jpg,전체이용가,189 회,2018.11.28 09:00,정보 없음,"헌터 따까리 짐꾼이었던 나.
이세계로 날아가 공작가문의 아들로 살게 되었다.",https://novel.munpia.com/129549
